artist_count,released_year,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key,mode,track_name,artist(s)_name
low,recent,very low,high,low,high,very high,high,high,high,very high,very high,very high,high,medium,low,low,B,Major,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook"
low,recent,low,high,very low,high,very high,high,high,low,high,high,high,medium,medium,low,low,C#,Major,LALA,Myke Towers
low,recent,low,high,low,very high,very high,high,high,high,low,low,low,medium,medium,very high,medium,F,Major,vampire,Olivia Rodrigo
low,old,very high,high,very high,very high,very high,very high,high,very high,low,high,high,medium,medium,medium,very high,A,Major,Cruel Summer,Taylor Swift
low,recent,high,high,high,high,very high,high,high,very high,medium,low,very high,medium,medium,medium,medium,A,Minor,WHERE SHE GOES,Bad Bunny
low,recent,low,high,low,high,very high,high,high,high,very high,high,medium,high,medium,low,very high,C#,Major,Sprinter,"Dave, Central Cee"
low,recent,high,high,very high,low,very high,high,high,very high,medium,very high,high,very high,medium,low,low,F,Minor,Ella Baila Sola,"Eslabon Armado, Peso Pluma"
low,recent,very low,high,very low,low,very high,low,high,low,medium,low,high,high,medium,medium,low,F,Major,Columbia,Quevedo
low,recent,low,high,very low,high,very high,high,high,high,very high,low,medium,medium,medium,very high,high,C#,Minor,fukumean,Gunna
low,recent,high,high,high,high,very high,high,high,very high,very high,high,low,high,medium,low,very high,D,Minor,La Bebe - Remix,"Peso Pluma, Yng Lvcas"
low,recent,high,high,high,high,very high,high,high,low,low,high,high,high,medium,very high,medium,F#,Minor,un x100to,"Bad Bunny, Grupo Frontera"
low,recent,very low,high,very low,high,very high,low,high,very high,high,high,very high,high,medium,high,high,F,Minor,Super Shy,NewJeans
low,recent,high,high,high,high,very high,very high,high,high,low,low,low,very high,medium,low,low,D,Minor,Daylight,David Kushner
